大丈夫、大丈夫。	It's okay.
今夜は何か予定がありますか。	What are you doing tonight?
トムと私は二人とも酔っている。	Both Tom and I are drunk.
川で泳いでいる少年は誰ですか。	Who is the boy swimming in the river?
これ全部トムの本なの？	Are these all Tom's books?
フランス語を習得するのは難しいですか？	Is French difficult to learn?
日ごとに暖かくなっていく。	It is getting warmer day by day.
トムが今までに住んでみたいと思っていた場所はボストンだけだ。	The only place Tom has ever wanted to live is Boston.
明日雨なら私は家にいます。	"If it rains tomorrow, I will stay at home."
今日はちょっと熱があるんだろ？	"You've got a bit of a fever today, don't you?"
私はあまりに疲れているので走れない。	I am too tired to run.
僕の誕生日は来週です。	My birthday's next week.
政府は農業にもっと投資するべきだ。	The government should invest more money in agriculture.
お前には関係ないだろ。	It is none of your business.
彼は草の上に横になった。	He lay down on the grass.
彼はタバコをやめた。	He quit smoking.
もう我慢の限界だ！	This is the last straw!
これをフランス語にどう翻訳するの？	How would you translate this into French?
汝殺すなかれ。	Thou shalt not kill.
楽しんできてください。	Have a nice time.
日本人は米と魚を主食にしています。	The Japanese's basic diet consists of rice and fish.
夢に向かって頑張ってね。	Follow your dreams.
私が一番速いランナーだ。	I am the fastest runner.
スポーツは見るのもするのも好きです。	I like both watching and playing sports.
ボタンを押してください。	"Push the button, please."
私はニューヨークのホテルに滞在しています。	I am staying at a hotel in New York.
あの家は大変小さい。	That house is very small.
雪がふっています。	It's snowing.
これはおよそ５００年前に建てられた。	This was built some 500 years ago.
彼はいつまでも泣き続けた。	He kept on crying.
トムとメアリーは二人ともとても競争的だ。	Both Tom and Mary are really competitive.
これが今まで読んだ中で一番いい本です。	This is the best book I have ever read.
トムなら飛行機でボストンに行ったよ。	Tom went to Boston by plane.
ここは私の叔父がアナウンサーとして働いているテレビ局です。	This is the TV station where my uncle works as an announcer.
お腹が空きました。	I was hungry.
それやるの楽しかった？	Was that fun to do?
机の上にある辞書は私のです。	The dictionary on the desk is mine.
進んでそれをやりました。	I did it willingly.
僕は会った瞬間に彼女を好きになってしまった。	I fell in love with her the moment I met her.
女性はたいてい男性より10年寿命が長い。	Women usually live 10 years longer than men do.
トムに「ダメ」と伝えて。	Tell Tom no.
私はトムに真実を伝えた。	I told Tom the truth.
どうぞお構いなく。	Please don't bother.
トムが到着した時には、コンサートは既に始まっていた。	"By the time Tom got there, the concert had already begun."
私は大声で助けを求めた。	I called for help.
４０％以上の生徒が大学に進学する。	More than 40 percent of the students go to university.
素敵な考えね。	That's a wonderful idea.
おいでになるのを楽しみにしています。	I'm looking forward to your visit.
私が出かけようとしていると彼がやってきた。	I was about to go out when he came to see me.
トムはロマンチックではないけど、メアリーはロマンチックだ。	"Tom isn't romantic, but Mary is."
うちの母はノーと言うに決まっている。	My mother is certain to say no.
トムには考える時間がなかった。	Tom didn't have time to think.
うまく行くと思うよ。	I think things will be OK.
良い考えだね！	That is a good idea.
この文の意味を理解する必要がある。	I need to understand the meaning of this sentence.
あの本のどの文も重要だ。	Every sentence in that book is important.
それを終えて就寝した。	"Having finished it, he went to bed."
トムはどうにもならない状態にいる。	Tom is caught between a rock and a hard place.
私はチーズとミルクを少し買った。	I bought some cheese and a little milk.
助けがいるって分かってたら、トムを助けてあげることができたのに。	"If I'd known that Tom needed help, I could've helped him."
それは１日か２日で仕上がる。	It will be finished in a day or two.
木の葉が赤くなった。	The leaves of the trees have turned red.
他に何かやりたいことある？	Is there anything else you would like to do?
手を見せてごらん。	Show me your hands.
この部屋はとても暑いですね。	"It is very hot in this room, isn't it?"
普段は何時に朝食を食べるのですか。	What time do you usually have breakfast?
私にこれをくれたのはトムなんだよ。	Tom is the one who gave me this.
何か補助はありませんか？	Is there any help available?
明日の朝、電話するよ。	I'll call you up tomorrow morning.
彼がシャワーで鼻歌を歌っているのが聞こえた。	I heard him humming in the shower.
彼は彼のお兄さんほど頭がよくない。	He is not as smart as his older brother.
トムがちょうど仕事場に姿を見せた。	Tom just showed up at work.
食生活変えた方がいいよ。	I think you should change your eating habits.
欲望を愛と混同するな。	Don't confuse desire with love.
国王とその家族は王宮に住んでいる。	The king and his family live in the royal palace.
どっちが欲しいのか言ってよ。	Tell me which you want.
そこで生まれたの？	Were you born there?
彼がわたしたちの案内役をつとめた。	He acted as our guide.
肉に塩をかけよう。	I'll put some salt on the meat.
それは君が思っているより一般的だよ。	It's more common than you think.
トムって運がいいよね。	I think Tom is lucky.
それは僕の唯一の選択肢だった。	It was my only choice.
日暮れ前にキャンプに戻った。	We came back to camp before dark.
いつ食べるの？	When do we eat?
それは専門家に任せたほうがいいよ。	We should leave that to the experts.
卵を割らなければオムレツは作れない。	You can't make an omelette without breaking eggs.
今日雨が降りますか。	Is it going to rain today?
ダンスは好きですか。	Do you like dancing?
とても不気味だと思った。	I thought that was really weird.
彼にはもう体力がない。	He doesn't have any strength left.
廊下は滑りやすいので、足元に気を付けなさい。	"The hallway is slippery, so watch your step."
3年間交際していた彼氏と先日別れました。	I recently broke up with my boyfriend of three years.
トムは朝食後に出発した。	Tom left after breakfast.
こちらで召し上がりますか。	Is it for here?
私たちにできるのは希望を持つことだけだ。	All we can do is hope.
彼は健康を犠牲にして懸命に働いた。	He worked hard at the risk of his health.
それはまさに奇跡だった。	It was truly a miracle.
ここから駅まで歩いてどれくらいかかりますか？	How long does it take to walk from here to the station?
角から３番目の家がトムんちだよ。	The third house from the corner is Tom's.
トムはとても機嫌が良かった。	Tom was in high spirits.
トムはめったに質問をしない。	Tom rarely asks questions.
私は化学にまったく興味がない。	I'm not a bit interested in chemistry.
雨降ってる？	Is it raining?
彼女は編み物に夢中になっている。	She is really into knitting.
食糧が不足している。	Food has been in short supply.
彼は外出してしまった。	He has gone out.
高校の頃はフランス語が好きだったよ。	I liked French in high school.
恐ろしい光景に彼は戦慄した。	He shuddered at the terrible scene.
喉がかわいた。	I'm thirsty.
まもなく天気になるでしょう。	It's going to clear up soon.
試合は無期限に延期となった。	The game has been postponed indefinitely.
どこへ行っていたと思う？	Guess where I've been.
日曜日から雨が降り続いている。	It has been raining since Sunday.
その仕事はやらないでおこう。	Let's not do the work.
時間なの？	Is it time?
トムは、メアリーのためにおつかいに行ってきた。	Tom did errands for Mary.
調査委員会の新委員を任命しなければならない。	We have to appoint new members of the examining board.
トムは何でまだ学校にいるの？	Why is Tom still at school?
クラスにかわいい子いる？	Are there any cute girls in your class?
ナイスアイデア！	That's a good idea!
トムは夜遅くにドラムを叩かないようメアリーに頼んだ。	Tom asked Mary not to play the drums so late at night.
能力には早く上達するものとゆっくり上達するものがありますよね？	"There are abilities that improve rapidly and those that improve slowly, aren't there?"
彼女は風邪を引きやすかった。	She caught colds often.
廊下は大変混雑していたので歩けなかった。	The corridor was so crowded that we couldn't walk.
電話だよ。トムから。	You're wanted on the phone. It's from Tom.
パーティーに出席したい。	I want to attend the party.
彼女は彼にキスしたいと思っている。	She wants to kiss him.
このカーペットは足ざわりが良い。	This carpet feels nice.
僕はちょっと心配している。	I'm a little bit concerned.
彼女はたばこをたくさん吸う。	She smokes a lot.
休暇も終わりに近付いた。	The vacation is close to an end.
彼は意志が弱い。	He doesn't have a mind of his own.
旅行の総費用を計算してくれますか。	Can you work out the total cost of the trip?
トムはメアリーの白いドレスに、赤ワインを全部ぶちまけてしまった。	Tom spilled red wine all over Mary's white dress.
私は娘の名前で預金口座を開いた。	I opened an account in my daughter's name.
私は週末までに済まさなければならない仕事がたくさんある。	I have a lot of work to finish up before the end of the week.
夜にこの辺を歩くのは心配だ。	I don't feel safe walking in that neighborhood at night.
アイス食べる？	Do you want some ice cream?
何とお礼を申しあげてよいか分かりません。	I cannot thank you too much.
彼のミスは意図的に行われたものだった。	His mistake was intentional.
トムは眉をひそめた。	Tom frowned.
私は今朝バターつきのパンを食べた。	I ate bread and butter this morning.
トムは手袋をつけている。	Tom is wearing gloves.
昨日、雨が降ってたの？	Was it raining yesterday?
トムが僕らを見ていたことを知らなかった。	I didn't know that Tom saw us.
きみがこんなに料理がじょうずだとは知らなかった。	I didn't know that you were such a good cook.
トムはメアリーの彼氏じゃないよ。	Tom isn't Mary's boyfriend.
少しでも寝られるといいね。	"It would be good to sleep, even for just a little bit."
もう寝なさい。	Go to sleep.
試してみたいな。	I'd like to try it.
外国語って言えばさ、フランス語は話せる？	"Speaking of foreign languages, do you speak French?"
半年前に右目の白内障の手術をしました。	Six months ago I had an operation for the cataract in my right eye.
誰もその絵が逆さにかかっていることに気がつかなかった。	No one noticed the picture was hung upside down.
トムは欲しいものを手に入れる方法をちゃんと知っている。	Tom knows exactly how to get what he wants.
トムを泣かせてやった。	I made Tom cry.
数年ぶりだから、彼女は私のことがわかるかなあ。	I wonder if she'll recognize me after all these years.
彼女は友達と一緒にコンサートへ行った。	She accompanied her friend to the concert.
トムはその本を買う必要なかった。	Tom didn't need to buy that book.
私は無礼だった。	I was rude.
人生で一番大切なものは何だ？	What's the most important thing in life?
そんなことするくらいなら死んだ方がましだよ。	I would rather die than do it.
彼は試験に合格するために一生懸命勉強した。	He studied hard in order to pass the test.
私は普段バスで通学します。	I usually go to school by bus.
最寄りの駅へはどう行ったらいいのですか。	Could you tell me how to get to the nearest station?
それは確かかい。	Are you sure about that?
捨てたほうがいいですよ。	You should throw it out.
研究室に戻りなさい。	Go back to the lab.
母は夕飯の仕度をしている。	My mother is preparing dinner.
我々は確実に席が取れるように早く出かけた。	We went early to make certain that we could get seats.
彼が何をしてしまったのかご存知ですか。	Do you know what he has done?
フランス語喋れないのか？	Can't you speak French?
私はその知らせを聞いて驚いた。	I was surprised to hear the news.
私はまだ朝食を済ませていません。	I haven't yet finished breakfast.
みんな寂しがっていたんですよ。	We all have missed you.
理由はこうこうであるとちゃんと説明しなさい。	Explain exactly what the reasons are.
不用意に秘密を洩らしちゃだめだよ。	Don't spill the beans.
トムは契約書をフランス語に訳した。	Tom translated the contract into French.
分かってるよ。	I understand.
「またトムから電話？」「うん。このところ毎晩かかってくるの。番号教えるんじゃなかった」	"Is that Tom calling again? ""Yes. He calls every evening these days. I shouldn't have given him my number."""
彼は車を２台持ってるんだ。	He has two cars.
今さら謝っても遅いよ。	It's too late to apologize now.
その会議はここで行われました。	The meeting was held here.
「何か書くものをくれ」「これでいいですか」「うん、それでいい」	"Give me something to write with. ""Will this do?"" ""Yes, it will do."""
あなたは槍ヶ岳に登ったことがありますか。	Have you ever climbed Mt. Yari?
彼女はピアノを弾くことができますか。	Does she play the piano?
残念ながらあなたのお手伝いはできません。	I'm sorry to say I can't help you.
彼は床に倒れた。	He fell down on the floor.
フランス語はここでは話されていない。	French isn't spoken here.
ホールにはたくさんの客がいた。	There were plenty of guests in the hall.
元妻は３人いるよ。	I have three ex-wives.
トムには多くの才能がある。	Tom has many talents.
交差点で事故が発生した。	An accident took place at the intersection.
彼らは普段自転車で登校します。	They usually go to school by bicycle.
彼は上流階級に属する。	He belongs to the upper class.
私の本はどこにありますか。	Where is my book?
私の家族はそれほど大家族ではない。	My family is not all that large.
彼はカナダから帰ってきた。	He came back from Canada.
思い出そうとしているんだよ。	I'm trying to remember.
先日失くしたとおっしゃっていた傘は、見つかりましたか。	Have you found the umbrella you said you'd lost the other day?
彼女は四十歳を超えていると思う。	I think she's over 40 years old.
何か飲み物はないかと思い、トムは冷蔵庫を覗いた。	Tom looked in the fridge to see what he could find to drink.
この近くに駅はありますか。	Is there a train station near here?
彼は人込みの中で友人を見失った。	He lost sight of his friend in the crowd.
俺はバンドで演奏してるんだ。	I play in a band.
現段階ではその問題についてコメントできません。	"At this point, I'm unable to comment on that problem."
この城は美しい。	This castle is beautiful.
今日は給料日です。	Today is payday.
彼氏に何を買ってあげたの？	What did you buy your boyfriend?
「調子はどうだ?」 「まぁまぁだね。」	"How's it going? ""Not too bad."""
ちょうど家を買ったとこです。	I just bought a house.
他の出口はありますか？	Is there another exit?
何も言っちゃダメだよ。わかった？	"Don't say anything, OK?"
私をがっかりさせないでくれ。	Don't disappoint me.
待たせないでくれ！	Don't make me wait.
あなたが助けてくれなかったら私はおぼれていたことでしょう。	"Without your help, I would have drowned."
向こうに大きな山が見えます。	We can see a big mountain over there.
彼はかつかつの生活を送っている。	He's living from hand to mouth.
それをするのが怖いって言ってなかったけ？	I thought that you said you were scared to do that.
彼らはやぎを神への捧げ物として殺した。	They killed a goat as a sacrifice to the gods.
あなたのお気に入りのテレビ番組は何ですか。	What's your favorite television program?
手紙書いてね。	"Write me sometime, OK?"
ここがトイレです。	This is the bathroom.
買える余裕あるの？	Can you afford that?
「何時帰ってきたのですか」「一昨日です」	"When did you return? ""I came back the day before yesterday."""
日曜日はやってますか？	Are you open on Sunday?
僕はバスケットボールをすることが好きだ。	I like playing basketball.
本当にトムは泳げるの？	Are you sure Tom can swim?
新聞を燃やした。	I burned the paper.
私が着くと彼らは急いで家から出て行った。	"When I arrived, they quickly cleared out of the house."
何があっても君の味方だよ。	I'll stand by you no matter what happens.
午後には天候が悪化します。	This afternoon the weather is going to get worse.
彼はすぐにかっとなる。	He loses his temper easily.
その二人の子供は年が同じだった。	Those two children were the same age.
彼は、明後日、ウィーンに行かなければならないと言っています。	He says he's got to get to Vienna the day after tomorrow.
元栓、しまってる。	The main valve is turned off.
彼の話はもっともらしく聞こえる。	His story sounds true.
私は彼の質問にどう答えたらよいかわからなかった。	I didn't know how to answer his question.
ここにいるよ。	I'll be here.
流れの静かな川は水が深い。	Still waters run deep.
君の振る舞いは多くの問題を引き起こしている。	Your behavior is creating a lot of problems.
なんで家を売ったの？	Why did you sell your house?
彼女は弱すぎる。	She is too weak.
トムはホームレスの支援に多くの時間を費やすのが苦にならない。	Tom doesn't mind devoting a lot of time to helping the homeless.
彼はあやうくおぼれるところだった。	He was nearly drowned.
私たち、あしたはお手伝いできないと思います。	I'm afraid we won't be able to help you tomorrow.
あんまり真に受けるなよ。	Don't take it too literally.
祖父は年を取ってきたので引退した。	Grandfather has retired because he is getting old.
すみません、洗濯機の使い方教えてもらえませんか？	"Excuse me, could you show me how to use the washing machine?"
私はなんともありません。	Nothing is the matter with me.
僕は歌い続けた。	I kept on singing.
彼は奈良に行った。	He went to Nara.
お座り下さい。	Please take a seat.
あんた誰？ ここで何してんの？	Who are you? What're you doing here?
私が責任を取ります。	I'll take responsibility.
彼は登山になれている。	He's used to mountain climbing.
この車誰のですか？	Whose car is this?
彼はいつもばかげた質問ばかりしている。	He's always asking silly questions.
トムが来たら教えてくれませんか？	"If Tom comes, please tell me."
車が混んで何時間も動かなかった。	We were stuck for hours in a traffic jam.
良かったですね。	Good for you.
トムはすっかり疲れきっていた。	Tom was completely exhausted.
トムは犬の食器に餌を入れた。	Tom put some food into the dog's dish.
車で行こう。	Let's go by car.
私は富士山の頂上に登った。	I climbed to the top of Mt. Fuji.
いくつかやってみましたが、どれもうまくいきませんでした。	"We tried several things, but nothing worked."
笑い事じゃない。	It's not funny.
私はボストンにいます。	I'm in Boston.
兄がいます。	I have a brother.
トムはメアリーにチョコレートを買ってあげた。	Tom bought some chocolates for Mary.
彼は働く必要はない。	There is no need for him to work.
彼は誰にも会わなかった。	He didn't see anybody.
あなたなんかもう知らない。	I don't know you anymore.
冬には早く日が沈みます。	The sun sets earlier in the winter.
彼は新しい工員を採用した。	He hired some new workers.
シートベルトを締め、「禁煙」のサインが消えるまで喫煙はご遠慮下さい。	"Please fasten your seat belt and observe the ""no smoking"" sign until it is turned off."
どっか行けよ、ひとりになりたいんだ。	Go somewhere else. I want to be alone.
我々消費者は国産品をもっと買わなければならない。	We consumers must buy more domestic products.
大切なのはどの大学を出たかではなくて、大学で何を学んだかである。	"What's important isn't which university you've graduated from, but what you learned while you were there."
「愛してるよ」「私もよ」	"I love you, baby. ""I love you, too."""
食べたいもの食べていいよ。	Eat what you want.
彼はハエを追い払った。	He shooed the flies away.
今日、トムは本当に学校にいたのかなぁ。	I wonder whether Tom really was at school today.
他にスーツケースって持ってる？	Do you have any more suitcases?
彼は立ち上がって深呼吸した。	He stood up and took a deep breath.
私たち、オーストラリアに行きたいの。	We want to go to Australia.
今の時点ではすべてを理解する必要はありません。	"At this time, you don't need to understand everything."
その本は明日お返しします。	I'll bring the book back to you tomorrow.
トムの両親は二人とも大卒だ。	Both of Tom's parents went to college.
その事故で私は右足を負傷した。	My right leg was injured in that accident.
この町で暮らすのは大変だ。	It's difficult to live in this city.
鬱陶しいなあ。	It's annoying.
彼には多くの才能がある。	He's a man of many talents.
私の兄は、小さな村に住んでいます。	My brother lives in a small village.
もちろん君は参加するものと思っていたよ。	I took it for granted that you would join.
ここから逃げないと、まずいと思います。	I think that we'd better get out of here.
君は何をするつもりなの。	What are you going to do?
それは面白い。	That is intriguing.
私はコンピューターを持っています。	I have a computer.
彼は昨日学校に遅刻しました。	He was late for school yesterday.
彼女がお金を返してくれなかった。	She didn't give me my money back.
